transcript	length	SRR2040575_brain	SRR2040576_brain	SRR2040577_heart	SRR2040578_heart	SRR2040579_liver	SRR2040580_liver	SRR2040581_testes	SRR2040582_testes	SRR2040583_testes
NM_214462.4_DACT2	2992	2	0	6	0	2	0	2	4	0
NM_214461.2_C2orf27B	1340	2	0	0	0	2	2	4	3	8
NM_213726.2_INCA1	1404	2	2	0	0	0	3	10	4	6
NM_213725.1_RPLP1	437	46	39	134	133	108	117	45	60	22
NM_213674.1_TPM2	1182	6	2	181	38	0	9	21	26	0
NM_213662.1_STAT3	4819	47	21	54	120	40	217	39	65	36
NM_213655.4_WNK1	11208	89	77	54	61	8	34	99	154	0
NM_213654.3_ARMC8	3290	6	10	2	2	0	2	4	10	0
NM_213653.3_HFE2	2234	0	0	2	0	53	5	0	0	0
NM_213652.3_HFE2	1488	0	0	0	0	30	14	0	0	0
NM_213648.3_TCF7	3073	2	4	0	0	6	16	3	8	12
NM_213647.2_FGFR4	3159	2	3	0	0	12	10	2	6	8
NM_213646.1_WARS	2712	16	32	32	47	2	45	44	41	0
NM_213645.1_WARS	2488	58	38	30	42	6	28	54	44	0
NM_213636.2_PDLIM7	1027	6	4	10	9	0	0	6	9	0
NM_213633.2_PSG4	1916	0	0	0	0	0	0	0	0	0
NM_213622.2_STAMBP	6709	20	6	8	9	12	12	26	31	0
NM_213621.3_HTR3A	2343	0	0	0	2	0	0	0	0	0
NM_213620.2_ATP6V1H	2080	90	68	6	6	4	2	12	13	0
NM_213619.2_ATP6V1H	2132	92	92	6	8	10	10	12	18	0
NM_213618.1_ST5	4371	17	10	24	12	8	14	44	84	16
NM_213613.3_SLC26A1	3677	0	2	2	0	10	0	2	0	0
NM_213611.2_SLC25A3	1919	118	102	330	150	122	93	55	73	0
NM_213609.3_FAM19A1	2032	28	9	0	0	0	0	2	0	0
NM_213608.2_C2orf66	2259	0	2	0	0	0	0	8	6	0
NM_213607.2_CCDC103	1766	2	0	0	0	0	0	16	3	6
NM_213606.3_SLC16A12	4622	2	1	12	18	2	9	20	27	21
NM_213605.2_ZNF517	2335	8	9	7	0	5	6	13	10	27
NM_213604.2_ADAMTSL5	2867	8	12	11	41	4	19	10	30	7
NM_213603.2_ZNF789	1654	8	11	6	2	4	21	9	18	1
NM_213602.2_SIGLEC15	1523	0	1	0	0	0	0	0	0	0
NM_213601.1_TMED8	978	18	10	0	0	0	1	4	11	0
NM_213600.3_PLA2G4F	3492	0	0	8	0	0	0	0	9	0
NM_213599.2_ANO5	6661	26	26	14	2	2	8	18	15	0
NM_213598.3_ZNF543	3671	9	14	9	10	4	14	21	46	413
NM_213597.3_KRBA2	1982	7	4	4	6	2	2	5	22	2
NM_213596.2_FOXN4	3356	0	0	2	0	0	0	41	40	14
NM_213595.3_ISCU	2148	46	52	66	26	12	6	28	16	0
NM_213594.2_RFX4	3965	6	8	2	0	0	0	86	78	0
NM_213593.4_DIO1	1677	0	0	0	0	36	4	0	0	0
NM_213590.2_TRIM13	7311	10	16	8	7	4	28	45	54	54
NM_213589.2_RAPH1	9749	45	55	33	89	106	103	76	148	6
NM_213569.2_NEBL	6956	78	80	174	245	0	2	0	4	0
NM_213568.1_SLC39A3	3005	10	24	11	2	2	2	26	8	0
NM_213566.1_DFFA	3408	22	37	17	26	24	42	35	84	192
NM_212559.2_XKRX	2854	0	0	0	0	0	0	0	0	0
NM_212558.2_TMEM215	5399	0	8	0	0	2	2	16	4	8
NM_212557.3_AMTN	1023	0	0	0	0	0	0	0	0	2
NM_212556.2_ASB18	1401	2	0	0	5	0	0	0	3	0
NM_212555.2_PATE2	1640	1	2	0	1	0	6	4	9	39
NM_212554.3_METTL10	3683	15	12	8	6	2	11	13	8	0
NM_212552.2_BOLA3	554	12	19	10	8	6	0	10	6	0
NM_212551.4_LYSMD1	2649	10	5	2	0	2	16	15	12	149
NM_212550.4_BLOC1S3	2619	20	11	6	5	7	20	26	34	10
NM_212543.1_B4GALT4	2366	2	4	6	4	4	23	6	19	0
NM_212540.2_E2F6	3170	4	0	2	1	0	8	4	10	0
NM_212539.1_PRKCD	2738	14	12	4	3	2	2	10	19	0
NM_212535.2_PRKCB	2711	179	117	2	2	4	2	7	15	0
NM_212533.2_ABCA2	8163	388	315	16	16	10	17	22	32	0
NM_212502.2_CDK18	3122	125	130	91	81	10	14	0	18	30
NM_212492.2_GPS1	2385	8	19	4	8	4	7	19	8	0
NM_212481.2_ARID5A	2229	2	1	6	10	2	2	0	2	0
NM_212479.3_ZMYND11	2813	20	10	2	6	2	5	8	8	0
NM_212472.2_PRKAR1A	4356	100	123	96	106	25	45	52	95	4
NM_212471.2_PRKAR1A	4518	120	128	86	96	22	42	80	101	10
NM_212469.1_CHKA	2679	20	24	14	6	8	25	153	72	0
NM_212460.3_ARL4A	2983	2	0	6	2	0	7	77	37	6
NM_207662.3_ZC3H14	3034	6	4	0	0	6	12	78	56	0
NM_207661.2_ZC3H14	3663	9	9	8	4	10	20	78	60	0
NM_207660.3_ZC3H14	3737	14	8	2	8	6	28	74	56	0
NM_207645.3_C11orf87	5937	162	114	0	0	2	2	2	0	0
NM_207644.2_LRRC75B	1240	2	8	6	0	7	14	6	19	8
NM_207629.1_ABCG1	2946	11	4	2	7	4	0	2	2	19
NM_207628.1_ABCG1	3060	2	2	2	4	0	0	1	0	7
NM_207627.1_ABCG1	3142	8	10	4	2	2	0	0	0	2
NM_207585.2_IFNAR2	2920	2	10	5	4	5	18	4	12	4
NM_207584.2_IFNAR2	1413	0	0	0	2	4	5	0	2	0
NM_207582.2_ERVFRD-1	3318	1	12	6	3	2	3	10	16	0
NM_207581.3_DUOXA2	1451	0	0	0	0	0	6	0	0	2
NM_207578.2_PRKACB	2119	15	12	0	0	0	4	2	0	2
NM_207577.1_MAP6	4338	55	54	4	0	0	2	54	35	28
NM_207521.1_RTN4	4129	149	112	4	18	14	3	35	36	0
NM_207520.1_RTN4	2471	132	74	14	16	26	8	26	6	0
NM_207519.1_ZAP70	1468	0	0	0	0	2	2	0	2	0
NM_207518.2_PRKACA	2498	84	56	88	34	30	40	59	52	0
NM_207517.2_ADAMTSL3	7336	2	0	20	20	8	17	18	20	0
NM_207514.2_DEF8	3787	18	10	4	0	6	7	6	8	0
NM_207511.2_C9orf139	3815	4	4	1	1	1	1	1	3	0
NM_207510.3_LCNL1	1851	3	14	5	2	0	0	9	6	0
NM_207506.2_SAMD12	2164	2	0	0	0	0	0	2	0	26
NM_207499.2_PTCHD4	3268	8	12	20	12	8	24	27	45	276
NM_207491.2_CCSER1	3927	5	4	4	0	0	4	9	15	36
NM_207481.3_NCKAP5	3654	4	0	0	2	2	2	0	6	0
NM_207469.2_DEFB132	2130	0	0	1	0	0	0	0	0	0
NM_207468.2_FAM177B	1345	194	396	156	24	1062	84	66	24	12
NM_207459.3_TEX19	1951	0	0	0	0	0	0	30	25	110
NM_207454.2_C17orf102	3997	9	10	2	0	0	5	1	1	2
NM_207446.2_FAM174B	2630	27	32	8	12	6	16	23	37	8
NM_207445.3_C15orf54	3106	0	5	0	5	2	1	1	6	0
NM_207444.2_C15orf53	2043	0	0	0	0	0	0	0	0	0
NM_207440.2_ATP11AUN	2241	0	0	0	0	0	0	0	1	0
NM_207437.3_DNAH10	13716	22	18	4	2	8	8	119	117	0
NM_207435.2_C12orf76	1971	74	56	2	1	4	6	8	25	0
NM_207430.2_C11orf88	800	2	0	1	1	0	1	14	11	0
NM_207429.3_COLCA1	5581	2	4	0	2	0	6	4	15	7
NM_207426.2_FOXI2	3178	2	6	6	0	6	3	2	0	21
NM_207422.2_FLJ44635	2269	0	0	0	1	0	0	2	8	28
NM_207420.2_SLC2A7	1539	0	0	0	0	0	0	0	0	0
NM_207419.3_C1QTNF8	3406	0	2	0	0	0	0	2	2	12
NM_207418.2_FAM72D	2393	2	2	0	1	0	1	14	6	18
NM_207417.2_CFAP77	1848	0	0	0	0	0	0	23	10	6
NM_207416.2_SPATA31D3	4927	0	0	0	2	0	0	63	34	28
NM_207413.3_FAM150A	1183	0	0	0	0	0	0	0	0	0
NM_207412.2_C8orf86	2250	5	7	2	3	5	6	10	6	8
NM_207411.4_XKR5	4908	5	8	5	4	4	21	7	20	16
NM_207410.2_GFRAL	1911	2	1	0	1	0	6	2	12	50
NM_207409.3_CLPSL2	443	0	0	0	0	0	0	0	2	0
NM_207408.1_TEX43	459	0	0	0	0	0	0	16	0	0
NM_207407.2_TMPRSS11F	2077	0	0	0	0	0	0	0	1	0
NM_207406.3_BEND4	8850	2	8	4	0	2	0	42	98	0
NM_207404.3_ZNF662	5612	16	20	14	5	5	28	25	45	51
NM_207401.2_C1orf229	2258	6	6	7	3	5	11	11	23	751
NM_207398.2_GBP7	2454	2	2	0	0	58	4	0	5	0
NM_207397.3_CD164L2	1563	0	0	0	0	0	0	2	0	0
NM_207396.2_RNF207	3987	8	28	52	19	14	46	16	39	205
NM_207395.2_ZNF324B	2995	12	4	4	0	4	10	4	9	0
NM_207393.1_IGFL3	662	0	0	0	0	0	0	7	5	52
